date,location,people_fully_vaccinated
2021-08-28,Australia,6950122.0
2021-08-29,Australia,7044253.0
2021-08-30,Australia,7095576.0
2021-08-31,Australia,7222529.0
2021-09-01,Australia,7369320.0
2021-09-02,Australia,7512554.0
2021-09-03,Australia,7653638.0
2021-09-04,Australia,7793356.0
2021-09-05,Australia,7879487.0
2021-09-06,Australia,7924726.0
2021-09-07,Australia,8046566.0
2021-09-08,Australia,8186949.0
2021-09-09,Australia,8330598.0
2021-09-10,Australia,8482722.0
2021-09-11,Australia,8631565.0
2021-09-12,Australia,8720390.0
2021-09-13,Australia,8773858.0
2021-09-14,Australia,8921250.0
2021-09-15,Australia,9066250.0
2021-09-16,Australia,9215782.0
2021-09-17,Australia,9360385.0
2021-09-18,Australia,9529749.0
2021-09-19,Australia,9633085.0
2021-09-20,Australia,9695905.0
2021-09-21,Australia,9853616.0
2021-09-22,Australia,10018707.0
2021-09-23,Australia,10183666.0
2021-09-24,Australia,10355227.0
2021-09-25,Australia,10522536.0
2021-09-26,Australia,10634837.0
2020-12-27,Austria,10634837.0
2020-12-28,Austria,10634837.0
2020-12-29,Austria,10634837.0
2020-12-30,Austria,10634837.0
2020-12-31,Austria,10634837.0
2021-01-01,Austria,10634837.0
2021-01-02,Austria,10634837.0
2021-01-03,Austria,10634837.0
2021-01-04,Austria,10634837.0
2021-01-05,Austria,10634837.0
2021-01-06,Austria,10634837.0
2021-01-07,Austria,10634837.0
2021-01-08,Austria,10634837.0
2021-01-09,Austria,10634837.0
2021-01-10,Austria,10634837.0
2021-01-11,Austria,10634837.0
2021-01-12,Austria,10634837.0
2021-01-13,Austria,10634837.0
2021-01-14,Austria,10634837.0
2021-01-15,Austria,10634837.0
2021-01-16,Austria,12.0
2021-01-17,Austria,388.0
2021-01-18,Austria,1278.0
2021-01-19,Austria,2759.0
2021-01-20,Austria,4068.0
2021-01-21,Austria,4239.0
2021-01-22,Austria,4802.0
2021-01-23,Austria,4804.0
2021-01-24,Austria,4813.0
2021-01-25,Austria,4926.0
2021-01-26,Austria,5840.0
2021-01-27,Austria,6370.0
2021-01-28,Austria,9045.0
2021-01-29,Austria,18813.0
2021-01-30,Austria,21197.0
2021-01-31,Austria,22209.0
2021-02-01,Austria,25334.0
2021-02-02,Austria,39817.0
2021-02-03,Austria,54976.0
2021-02-04,Austria,72911.0
2021-02-05,Austria,90122.0
2021-02-06,Austria,96539.0
2021-02-07,Austria,100940.0
2021-02-08,Austria,108695.0
2021-02-09,Austria,125556.0
2021-02-10,Austria,144068.0
2021-02-11,Austria,163626.0
2021-02-12,Austria,182050.0
2021-02-13,Austria,187187.0
2021-02-14,Austria,188773.0
2021-02-15,Austria,192010.0
2021-02-16,Austria,199688.0
2021-02-17,Austria,209326.0
2021-02-18,Austria,217460.0
2021-02-19,Austria,225978.0
2021-02-20,Austria,227687.0
2021-02-21,Austria,228072.0
2021-02-22,Austria,229928.0
2021-02-23,Austria,234420.0
2021-02-24,Austria,237918.0
2021-02-25,Austria,241618.0
2021-02-26,Austria,246617.0
2021-02-27,Austria,248583.0
2021-02-28,Austria,249089.0
2021-03-01,Austria,249978.0
2021-03-02,Austria,252393.0
2021-03-03,Austria,254800.0
2021-03-04,Austria,257610.0
2021-03-05,Austria,260760.0
2021-03-06,Austria,263302.0
2021-03-07,Austria,263964.0
2021-03-08,Austria,265366.0
2021-03-09,Austria,268945.0
2021-03-10,Austria,273492.0
2021-03-11,Austria,278967.0
2021-03-12,Austria,284404.0
2021-03-13,Austria,290209.0
2021-03-14,Austria,294460.0
2021-03-15,Austria,296799.0
2021-03-16,Austria,303266.0
2021-03-17,Austria,311484.0
2021-03-18,Austria,319693.0
2021-03-19,Austria,328370.0
2021-03-20,Austria,338062.0
2021-03-21,Austria,341952.0
2021-03-22,Austria,344567.0
2021-03-23,Austria,361364.0
2021-03-24,Austria,379491.0
2021-03-25,Austria,396124.0
2021-03-26,Austria,415040.0
2021-03-27,Austria,429800.0
2021-03-28,Austria,434510.0
2021-03-29,Austria,440180.0
2021-03-30,Austria,452062.0
2021-03-31,Austria,465300.0
2021-04-01,Austria,484591.0
2021-04-02,Austria,504023.0
2021-04-03,Austria,513132.0
2021-04-04,Austria,514920.0
2021-04-05,Austria,519725.0
2021-04-06,Austria,531860.0
2021-04-07,Austria,548174.0
2021-04-08,Austria,574129.0
2021-04-09,Austria,607646.0
2021-04-10,Austria,636620.0
2021-04-11,Austria,652320.0
2021-04-12,Austria,659450.0
2021-04-13,Austria,671150.0
2021-04-14,Austria,685001.0
2021-04-15,Austria,704201.0
2021-04-16,Austria,722951.0
2021-04-17,Austria,744956.0
2021-04-18,Austria,749295.0
2021-04-19,Austria,755097.0
2021-04-20,Austria,767902.0
2021-04-21,Austria,778783.0
2021-04-22,Austria,789491.0
2021-04-23,Austria,801011.0
2021-04-24,Austria,806896.0
2021-04-25,Austria,808731.0
2021-04-26,Austria,812293.0
2021-04-27,Austria,823734.0
2021-04-28,Austria,838273.0
2021-04-29,Austria,853628.0
2021-04-30,Austria,867458.0
2021-05-01,Austria,875659.0
2021-05-02,Austria,877063.0
2021-05-03,Austria,889419.0
2021-05-04,Austria,911397.0
2021-05-05,Austria,929712.0
2021-05-06,Austria,950619.0
2021-05-07,Austria,974088.0
2021-05-08,Austria,993774.0
2021-05-09,Austria,999935.0
2021-05-10,Austria,1011241.0
2021-05-11,Austria,1029338.0
2021-05-12,Austria,1053640.0
2021-05-13,Austria,1062254.0
2021-05-14,Austria,1086722.0
2021-05-15,Austria,1103717.0
2021-05-16,Austria,1110941.0
2021-05-17,Austria,1129682.0
2021-05-18,Austria,1157595.0
2021-05-19,Austria,1191334.0
2021-05-20,Austria,1228061.0
2021-05-21,Austria,1269879.0
2021-05-22,Austria,1290113.0
2021-05-23,Austria,1301747.0
2021-05-24,Austria,1314738.0
2021-05-25,Austria,1333641.0
2021-05-26,Austria,1379502.0
2021-05-27,Austria,1427234.0
2021-05-28,Austria,1484235.0
2021-05-29,Austria,1521997.0
2021-05-30,Austria,1546247.0
2021-05-31,Austria,1571599.0
2021-06-01,Austria,1612633.0
2021-06-02,Austria,1685598.0
2021-06-03,Austria,1724327.0
2021-06-04,Austria,1774575.0
2021-06-05,Austria,1804705.0
2021-06-06,Austria,1834599.0
2021-06-07,Austria,1869352.0
2021-06-08,Austria,1915743.0
2021-06-09,Austria,1975261.0
2021-06-10,Austria,2049226.0
2021-06-11,Austria,2129275.0
2021-06-12,Austria,2171616.0
2021-06-13,Austria,2192290.0
2021-06-14,Austria,2223849.0
2021-06-15,Austria,2266111.0
2021-06-16,Austria,2339597.0
2021-06-17,Austria,2415670.0
2021-06-18,Austria,2490853.0
2021-06-19,Austria,2527664.0
2021-06-20,Austria,2545584.0
2021-06-21,Austria,2578867.0
2021-06-22,Austria,2637112.0
2021-06-23,Austria,2715404.0
2021-06-24,Austria,2794041.0
2021-06-25,Austria,2883272.0
2021-06-26,Austria,2934256.0
2021-06-27,Austria,2953792.0
2021-06-28,Austria,2991872.0
2021-06-29,Austria,3055929.0
2021-06-30,Austria,3140835.0
2021-07-01,Austria,3231241.0
2021-07-02,Austria,3320812.0
2021-07-03,Austria,3371923.0
2021-07-04,Austria,3398534.0
2021-07-05,Austria,3430667.0
2021-07-06,Austria,3488680.0
2021-07-07,Austria,3560130.0
2021-07-08,Austria,3634508.0
2021-07-09,Austria,3704698.0
2021-07-10,Austria,3745973.0
2021-07-11,Austria,3767432.0
2021-07-12,Austria,3796742.0
2021-07-13,Austria,3852419.0
2021-07-14,Austria,3919490.0
2021-07-15,Austria,3968182.0
2021-07-16,Austria,4033809.0
2021-07-17,Austria,4073956.0
2021-07-18,Austria,4096439.0
2021-07-19,Austria,4118079.0
2021-07-20,Austria,4154426.0
2021-07-21,Austria,4211954.0
2021-07-22,Austria,4266456.0
2021-07-23,Austria,4323651.0
2021-07-24,Austria,4366615.0
2021-07-25,Austria,4390178.0
2021-07-26,Austria,4413131.0
2021-07-27,Austria,4460569.0
2021-07-28,Austria,4509904.0
2021-07-29,Austria,4547146.0
2021-07-30,Austria,4594485.0
2021-07-31,Austria,4625593.0
2021-08-01,Austria,4650895.0
2021-08-02,Austria,4674753.0
2021-08-03,Austria,4714603.0
2021-08-04,Austria,4752553.0
2021-08-05,Austria,4785874.0
2021-08-06,Austria,4825212.0
2021-08-07,Austria,4850822.0
2021-08-08,Austria,4872877.0
2021-08-09,Austria,4885055.0
2021-08-10,Austria,4920810.0
2021-08-11,Austria,4954704.0
2021-08-12,Austria,4980099.0
2021-08-13,Austria,5001971.0
2021-08-14,Austria,5016233.0
2021-08-15,Austria,5024056.0
2021-08-16,Austria,5044055.0
2021-08-17,Austria,5064241.0
2021-08-18,Austria,5084206.0
2021-08-19,Austria,5103843.0
2021-08-20,Austria,5123500.0
2021-08-21,Austria,5136105.0
2021-08-22,Austria,5141050.0
2021-08-23,Austria,5147210.0
2021-08-24,Austria,5158720.0
2021-08-25,Austria,5168457.0
2021-08-26,Austria,5183591.0
2021-08-27,Austria,5195566.0
2021-08-28,Austria,5200722.0
2021-08-29,Austria,5202996.0
2021-08-30,Austria,5208736.0
2021-08-31,Austria,5218171.0
2021-09-01,Austria,5226133.0
2021-09-02,Austria,5235197.0
2021-09-03,Austria,5243892.0
2021-09-04,Austria,5252017.0
2021-09-05,Austria,5253351.0
2021-09-06,Austria,5257167.0
2021-09-07,Austria,5264177.0
2021-09-08,Austria,5271555.0
2021-09-09,Austria,5279740.0
2021-09-10,Austria,5289017.0
2021-09-11,Austria,5296614.0
2021-09-12,Austria,5298446.0
2021-09-13,Austria,5302816.0
2021-09-14,Austria,5311362.0
2021-09-15,Austria,5318615.0
2021-09-16,Austria,5326608.0
2021-09-17,Austria,5336173.0
2021-09-18,Austria,5342341.0
2021-09-19,Austria,5344746.0
2021-09-20,Austria,5349159.0
2021-09-21,Austria,5358361.0
2021-09-22,Austria,5365873.0
2021-09-23,Austria,5373065.0
2021-09-24,Austria,5383268.0
2021-09-25,Austria,5388586.0
2021-09-26,Austria,5389744.0
2020-12-28,Belgium,5389744.0
2020-12-29,Belgium,11.0
2020-12-30,Belgium,20.0
2020-12-31,Belgium,20.0
2021-01-01,Belgium,20.0
2021-01-02,Belgium,33.0
2021-01-03,Belgium,33.0
2021-01-04,Belgium,36.0
2021-01-05,Belgium,55.0
2021-01-06,Belgium,79.0
2021-01-07,Belgium,95.0
2021-01-08,Belgium,131.0
2021-01-09,Belgium,143.0
2021-01-10,Belgium,145.0
2021-01-11,Belgium,158.0
2021-01-12,Belgium,185.0
2021-01-13,Belgium,322.0
2021-01-14,Belgium,346.0
2021-01-15,Belgium,374.0
2021-01-16,Belgium,388.0
2021-01-17,Belgium,403.0
2021-01-18,Belgium,554.0
2021-01-19,Belgium,781.0
2021-01-20,Belgium,1261.0
2021-01-21,Belgium,1311.0
2021-01-22,Belgium,1390.0
2021-01-23,Belgium,1411.0
2021-01-24,Belgium,1431.0
2021-01-25,Belgium,1471.0
2021-01-26,Belgium,3258.0
2021-01-27,Belgium,6738.0
2021-01-28,Belgium,14678.0
2021-01-29,Belgium,23771.0
2021-01-30,Belgium,26698.0
2021-01-31,Belgium,27047.0
2021-02-01,Belgium,30977.0
2021-02-02,Belgium,45422.0
2021-02-03,Belgium,66232.0
2021-02-04,Belgium,90681.0
2021-02-05,Belgium,113735.0
2021-02-06,Belgium,119086.0
2021-02-07,Belgium,122176.0
2021-02-08,Belgium,130056.0
2021-02-09,Belgium,149917.0
2021-02-10,Belgium,169171.0
2021-02-11,Belgium,197628.0
2021-02-12,Belgium,225992.0
2021-02-13,Belgium,234170.0
2021-02-14,Belgium,236051.0
2021-02-15,Belgium,247838.0
2021-02-16,Belgium,258485.0
2021-02-17,Belgium,271402.0
2021-02-18,Belgium,288782.0
2021-02-19,Belgium,302134.0
2021-02-20,Belgium,303754.0
2021-02-21,Belgium,304044.0
2021-02-22,Belgium,307018.0
2021-02-23,Belgium,315273.0
2021-02-24,Belgium,323703.0
2021-02-25,Belgium,332993.0
2021-02-26,Belgium,340000.0
2021-02-27,Belgium,340819.0
2021-02-28,Belgium,341092.0
2021-03-01,Belgium,343888.0
2021-03-02,Belgium,350820.0
2021-03-03,Belgium,357055.0
2021-03-04,Belgium,365918.0
2021-03-05,Belgium,372732.0
2021-03-06,Belgium,373390.0
2021-03-07,Belgium,373583.0
2021-03-08,Belgium,375596.0
2021-03-09,Belgium,383096.0
2021-03-10,Belgium,392368.0
2021-03-11,Belgium,402556.0
2021-03-12,Belgium,416318.0
2021-03-13,Belgium,418546.0
2021-03-14,Belgium,419844.0
2021-03-15,Belgium,424544.0
2021-03-16,Belgium,428833.0
2021-03-17,Belgium,437688.0
2021-03-18,Belgium,454671.0
2021-03-19,Belgium,473682.0
2021-03-20,Belgium,475284.0
2021-03-21,Belgium,475819.0
2021-03-22,Belgium,481229.0
2021-03-23,Belgium,487052.0
2021-03-24,Belgium,497706.0
2021-03-25,Belgium,517841.0
2021-03-26,Belgium,537689.0
2021-03-27,Belgium,541507.0
2021-03-28,Belgium,542480.0
2021-03-29,Belgium,547798.0
2021-03-30,Belgium,553591.0
2021-03-31,Belgium,564998.0
2021-04-01,Belgium,589998.0
2021-04-02,Belgium,609158.0
2021-04-03,Belgium,610612.0
2021-04-04,Belgium,610727.0
2021-04-05,Belgium,613243.0
2021-04-06,Belgium,622507.0
2021-04-07,Belgium,632436.0
2021-04-08,Belgium,649374.0
2021-04-09,Belgium,665390.0
2021-04-10,Belgium,669524.0
2021-04-11,Belgium,669914.0
2021-04-12,Belgium,679041.0
2021-04-13,Belgium,687550.0
2021-04-14,Belgium,712274.0
2021-04-15,Belgium,739027.0
2021-04-16,Belgium,756580.0
2021-04-17,Belgium,762423.0
2021-04-18,Belgium,762546.0
2021-04-19,Belgium,766996.0
2021-04-20,Belgium,770294.0
2021-04-21,Belgium,774936.0
2021-04-22,Belgium,781067.0
2021-04-23,Belgium,788371.0
2021-04-24,Belgium,790230.0
2021-04-25,Belgium,790286.0
2021-04-26,Belgium,797361.0
2021-04-27,Belgium,812081.0
2021-04-28,Belgium,827462.0
2021-04-29,Belgium,847407.0
2021-04-30,Belgium,870261.0
2021-05-01,Belgium,878390.0
2021-05-02,Belgium,878547.0
2021-05-03,Belgium,893679.0
2021-05-04,Belgium,912816.0
2021-05-05,Belgium,987225.0
2021-05-06,Belgium,1065559.0
2021-05-07,Belgium,1124970.0
2021-05-08,Belgium,1136420.0
2021-05-09,Belgium,1136581.0
2021-05-10,Belgium,1142656.0
2021-05-11,Belgium,1153977.0
2021-05-12,Belgium,1183635.0
2021-05-13,Belgium,1264531.0
2021-05-14,Belgium,1368908.0
2021-05-15,Belgium,1424435.0
2021-05-16,Belgium,1428317.0
2021-05-17,Belgium,1454377.0
2021-05-18,Belgium,1488302.0
2021-05-19,Belgium,1555946.0
2021-05-20,Belgium,1639125.0
2021-05-21,Belgium,1701327.0
2021-05-22,Belgium,1746699.0
2021-05-23,Belgium,1749528.0
2021-05-24,Belgium,1786189.0
2021-05-25,Belgium,1833501.0
2021-05-26,Belgium,1925553.0
2021-05-27,Belgium,2028810.0
2021-05-28,Belgium,2106183.0
2021-05-29,Belgium,2156616.0
2021-05-30,Belgium,2163852.0
2021-05-31,Belgium,2221703.0
2021-06-01,Belgium,2269800.0
2021-06-02,Belgium,2360392.0
2021-06-03,Belgium,2457976.0
2021-06-04,Belgium,2532090.0
2021-06-05,Belgium,2583858.0
2021-06-06,Belgium,2589818.0
2021-06-07,Belgium,2669452.0
2021-06-08,Belgium,2750488.0
2021-06-09,Belgium,2860398.0
2021-06-10,Belgium,2978682.0
2021-06-11,Belgium,3089054.0
2021-06-12,Belgium,3160634.0
2021-06-13,Belgium,3169320.0
2021-06-14,Belgium,3258378.0
2021-06-15,Belgium,3341967.0
2021-06-16,Belgium,3421056.0
2021-06-17,Belgium,3477498.0
2021-06-18,Belgium,3537499.0
2021-06-19,Belgium,3569554.0
2021-06-20,Belgium,3571465.0
2021-06-21,Belgium,3610233.0
2021-06-22,Belgium,3666315.0
2021-06-23,Belgium,3730745.0
2021-06-24,Belgium,3791950.0
2021-06-25,Belgium,3844157.0
2021-06-26,Belgium,3894329.0
2021-06-27,Belgium,3901324.0
2021-06-28,Belgium,3956908.0
2021-06-29,Belgium,4026243.0
2021-06-30,Belgium,4073049.0
2021-07-01,Belgium,4122178.0
2021-07-02,Belgium,4163676.0
2021-07-03,Belgium,4216016.0
2021-07-04,Belgium,4222909.0
2021-07-05,Belgium,4322113.0
2021-07-06,Belgium,4417295.0
2021-07-07,Belgium,4540705.0
2021-07-08,Belgium,4672357.0
2021-07-09,Belgium,4786432.0
2021-07-10,Belgium,4896949.0
2021-07-11,Belgium,4924001.0
2021-07-12,Belgium,5047167.0
2021-07-13,Belgium,5141211.0
2021-07-14,Belgium,5256867.0
2021-07-15,Belgium,5363897.0
2021-07-16,Belgium,5474742.0
2021-07-17,Belgium,5559643.0
2021-07-18,Belgium,5571602.0
2021-07-19,Belgium,5681735.0
2021-07-20,Belgium,5779522.0
2021-07-21,Belgium,5867522.0
2021-07-22,Belgium,6026507.0
2021-07-23,Belgium,6167515.0
2021-07-24,Belgium,6250197.0
2021-07-25,Belgium,6262858.0
2021-07-26,Belgium,6361320.0
2021-07-27,Belgium,6451654.0
2021-07-28,Belgium,6582622.0
2021-07-29,Belgium,6707196.0
2021-07-30,Belgium,6825115.0
2021-07-31,Belgium,6895860.0
2021-08-01,Belgium,6905948.0
2021-08-02,Belgium,6993528.0
2021-08-03,Belgium,7065512.0
2021-08-04,Belgium,7152497.0
2021-08-05,Belgium,7243953.0
2021-08-06,Belgium,7331714.0
2021-08-07,Belgium,7370358.0
2021-08-08,Belgium,7375571.0
2021-08-09,Belgium,7428160.0
2021-08-10,Belgium,7493916.0
2021-08-11,Belgium,7555828.0
2021-08-12,Belgium,7616249.0
2021-08-13,Belgium,7664059.0
2021-08-14,Belgium,7685454.0
2021-08-15,Belgium,7687132.0
2021-08-16,Belgium,7719685.0
2021-08-17,Belgium,7754857.0
2021-08-18,Belgium,7796129.0
2021-08-19,Belgium,7836273.0
2021-08-20,Belgium,7870594.0
2021-08-21,Belgium,7889054.0
2021-08-22,Belgium,7891887.0
